cluster id	cluster members	disease_id	disease label	mica	mondo subclasses	clusters
2524	2	MONDO:0005381	bone disease	2.417784767	2238	MONDO:0000044|MONDO:0011501
956	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0000050|MONDO:0013006|MONDO:0013346|MONDO:0014551
1876	4	MONDO:0019684	rare bone disease	2.4392108141	2029	MONDO:0000110|MONDO:0007195|MONDO:0008866|MONDO:0015468
1543	5	MONDO:0015823	primary immunodeficiency due to a defect in adaptive immunity	5.5757941854	251	MONDO:0000133|MONDO:0009454|MONDO:0013290|MONDO:0013553|MONDO:0014829
2184	4	MONDO:0002254	syndromic disease	1.2777928031	4214	MONDO:0000141|MONDO:0009333|MONDO:0009759|MONDO:0009965
592	4	MONDO:0015960	rare genetic developmental defect during embryogenesis	1.2344781354	4370	MONDO:0000179|MONDO:0008824|MONDO:0009736|MONDO:0010610
2142	1	MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism	11.9963256792	1	MONDO:0000208
109	7	MONDO:0005336	myopathy	4.6745373871	473	MONDO:0000355|MONDO:0007294|MONDO:0012279|MONDO:0013178|MONDO:0014655|MONDO:0019951|MONDO:0024530
1091	21	MONDO:0000992	heart conduction disease	7.7337573354	121	MONDO:0000453|MONDO:0007240|MONDO:0007264|MONDO:0007701|MONDO:0008646|MONDO:0010958|MONDO:0011377|MONDO:0011474|MONDO:0012312|MONDO:0012313|MONDO:0012728|MONDO:0012738|MONDO:0012742|MONDO:0012743|MONDO:0012871|MONDO:0013062|MONDO:0013279|MONDO:0013367|MONDO:0013370|MONDO:0013372|MONDO:0024540
16	14	MONDO:0021198	rare genetic disease	0.53327265	9577	MONDO:0000455|MONDO:0007934|MONDO:0008374|MONDO:0009007|MONDO:0009786|MONDO:0010320|MONDO:0010969|MONDO:0011987|MONDO:0012398|MONDO:0012490|MONDO:0012625|MONDO:0013129|MONDO:0013348|MONDO:0015993
1181	4	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0000463|MONDO:0009368|MONDO:0014049|MONDO:0019395
201	2	MONDO:0019056	neuromuscular disease	3.9871806107	796	MONDO:0000507|MONDO:0014181
1629	2	MONDO:0019289	hyperpigmentation of the skin	6.0768155971	87	MONDO:0000736|MONDO:0007245
158	4	MONDO:0019056	neuromuscular disease	3.9871806107	796	MONDO:0000902|MONDO:0010683|MONDO:0015994|MONDO:0018947
