cluster id	cluster members	disease_id	disease label	mica	mondo subclasses	clusters
382	4	MONDO:0018331	rare genetic dystonia	7.9401185739	66	MONDO:0000903|MONDO:0007492|MONDO:0008044|MONDO:0014620
1083	24	MONDO:0020029	rare genetic cardiac disease	4.3333054849	494	MONDO:0000908|MONDO:0007174|MONDO:0008648|MONDO:0011001|MONDO:0011376|MONDO:0012678|MONDO:0012736|MONDO:0012737|MONDO:0012816|MONDO:0013015|MONDO:0013063|MONDO:0013145|MONDO:0013146|MONDO:0013148|MONDO:0013513|MONDO:0013530|MONDO:0013544|MONDO:0013545|MONDO:0014156|MONDO:0014340|MONDO:0014548|MONDO:0014550|MONDO:0019490|MONDO:0024562
1028	6	MONDO:0015231	Bartter syndrome	10.5358777202	8	MONDO:0000909|MONDO:0009424|MONDO:0010503|MONDO:0011127|MONDO:0011242|MONDO:0011822
29	34	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0000910|MONDO:0007933|MONDO:0008328|MONDO:0008379|MONDO:0011075|MONDO:0011143|MONDO:0011272|MONDO:0011564|MONDO:0011579|MONDO:0011630|MONDO:0011974|MONDO:0012024|MONDO:0012174|MONDO:0012367|MONDO:0012464|MONDO:0012507|MONDO:0012515|MONDO:0012796|MONDO:0012943|MONDO:0013328|MONDO:0013395|MONDO:0013413|MONDO:0013414|MONDO:0013436|MONDO:0013437|MONDO:0013611|MONDO:0014068|MONDO:0014093|MONDO:0014323|MONDO:0014345|MONDO:0014653|MONDO:0014687|MONDO:0014692|MONDO:0044320
1771	76	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0000912|MONDO:0007423|MONDO:0009076|MONDO:0009087|MONDO:0009090|MONDO:0010228|MONDO:0010484|MONDO:0010577|MONDO:0010807|MONDO:0010915|MONDO:0010933|MONDO:0010963|MONDO:0010967|MONDO:0010973|MONDO:0010987|MONDO:0011031|MONDO:0011032|MONDO:0011102|MONDO:0011103|MONDO:0011159|MONDO:0011279|MONDO:0011351|MONDO:0011364|MONDO:0011392|MONDO:0011480|MONDO:0011553|MONDO:0011568|MONDO:0011602|MONDO:0011660|MONDO:0011761|MONDO:0011762|MONDO:0011767|MONDO:0011774|MONDO:0011832|MONDO:0011920|MONDO:0011991|MONDO:0012002|MONDO:0012003|MONDO:0012023|MONDO:0012060|MONDO:0012083|MONDO:0012086|MONDO:0012170|MONDO:0012293|MONDO:0012326|MONDO:0012333|MONDO:0012370|MONDO:0012418|MONDO:0012420|MONDO:0012421|MONDO:0012442|MONDO:0012445|MONDO:0012460|MONDO:0012485|MONDO:0012670|MONDO:0012975|MONDO:0012977|MONDO:0013010|MONDO:0013119|MONDO:0013210|MONDO:0013249|MONDO:0013471|MONDO:0013537|MONDO:0013593|MONDO:0013929|MONDO:0013972|MONDO:0013984|MONDO:0014237|MONDO:0014363|MONDO:0014469|MONDO:0014603|MONDO:0014675|MONDO:0014738|MONDO:0014816|MONDO:0014853|MONDO:0014854
1434	9	MONDO:0021195	disease disrupting biological or physiological process	0.153798698	14140	MONDO:0000913|MONDO:0008493|MONDO:0009382|MONDO:0009950|MONDO:0010480|MONDO:0012981|MONDO:0014737|MONDO:0014804|MONDO:0019107
780	5	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0000914|MONDO:0007432|MONDO:0008436|MONDO:0008641|MONDO:0008793
1159	4	MONDO:0005070	neoplasm (disease)	1.7649928521	4411	MONDO:0001056|MONDO:0007648|MONDO:0008284|MONDO:0024293
1120	6	MONDO:0021195	disease disrupting biological or physiological process	0.153798698	14140	MONDO:0001187|MONDO:0008167|MONDO:0008627|MONDO:0010274|MONDO:0013410|MONDO:0014634
1307	6	MONDO:0019062	rare infectious disease	6.0322423166	545	MONDO:0001444|MONDO:0005661|MONDO:0005823|MONDO:0019365|MONDO:0020486|MONDO:0020502
2600	5	MONDO:0019706	lysosomal storage disease with skeletal involvement	7.3974508716	43	MONDO:0001586|MONDO:0009650|MONDO:0009661|MONDO:0009662|MONDO:0010674
564	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0001945|MONDO:0009415|MONDO:0011841|MONDO:0012994
1210	3	MONDO:0015938	systemic disease	5.8264006777	261	MONDO:0001956|MONDO:0018018|MONDO:0019438
1218	1	MONDO:0002142	undifferentiated pleomorphic sarcoma	11.9522704991	3	MONDO:0002142
983	2	MONDO:0021581	connective tissue neoplasm	4.3239551602	590	MONDO:0002422|MONDO:0009693
2005	2	MONDO:0018457	rare genetic bone development disorder	3.9183921471	663	MONDO:0002457|MONDO:0011287
1140	2	MONDO:0016752	benign peripheral nerve sheath tumor	8.6856248397	35	MONDO:0002546|MONDO:0016755
1224	3	MONDO:0005070	neoplasm (disease)	1.7649928521	4411	MONDO:0002586|MONDO:0005197|MONDO:0006292
1145	2	MONDO:0019684	rare bone disease	2.4392108141	2029	MONDO:0002629|MONDO:0007490
1215	4	MONDO:0005558	ovarian disease	5.6516512963	224	MONDO:0002697|MONDO:0008168|MONDO:0011972|MONDO:0017802
1217	3	MONDO:0004992	cancer	2.365656421	2183	MONDO:0002728|MONDO:0007256|MONDO:0019004
1171	2	MONDO:0007108	anal canal carcinoma	8.6755163863	6	MONDO:0002735|MONDO:0004132
1214	7	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0002882|MONDO:0003111|MONDO:0003646|MONDO:0006689|MONDO:0015066|MONDO:0015069|MONDO:0019963
1158	12	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0002974|MONDO:0007253|MONDO:0007300|MONDO:0008067|MONDO:0009227|MONDO:0009975|MONDO:0009993|MONDO:0009994|MONDO:0010434|MONDO:0011655|MONDO:0012809|MONDO:0012817
1309	5	MONDO:0021195	disease disrupting biological or physiological process	0.153798698	14140	MONDO:0003345|MONDO:0014472|MONDO:0015045|MONDO:0018876|MONDO:0019478
1118	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0003510|MONDO:0007718|MONDO:0007855|MONDO:0007888
1119	7	MONDO:0016645	rare neoplastic disease	1.8793672501	2543	MONDO:0003582|MONDO:0007903|MONDO:0008018|MONDO:0012953|MONDO:0013699|MONDO:0013710|MONDO:0023113
1183	3	MONDO:0002118	urinary system disease	3.354932	1202	MONDO:0004114|MONDO:0010971|MONDO:0018960
869	2	MONDO:0019820	univentricular cardiopathy	11.8680015822	8	MONDO:0004933|MONDO:0009931
1458	3	MONDO:0005059	leukemia (disease)	6.5992231938	121	MONDO:0004948|MONDO:0007190|MONDO:0010809
1311	4	MONDO:0020031	rare tumor	2.0300829364	2378	MONDO:0004952|MONDO:0005055|MONDO:0007650|MONDO:0009348
538	1	MONDO:0004976	amyotrophic lateral sclerosis	8.4635544845	36	MONDO:0004976
1226	3	MONDO:0019086	carcinoma of esophagus	9.4683941235	12	MONDO:0005028|MONDO:0005580|MONDO:0019086
1337	5	MONDO:0020006	rare hematologic disease	4.0603269493	859	MONDO:0005029|MONDO:0007572|MONDO:0009891|MONDO:0011895|MONDO:0019111
1212	2	MONDO:0020031	rare tumor	2.0300829364	2378	MONDO:0005033|MONDO:0011424
448	3	MONDO:0001933	endocrine pancreas disease	5.964525651	171	MONDO:0005048|MONDO:0011236|MONDO:0012381
1345	2	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0005060|MONDO:0007292
1343	2	MONDO:0005072	neuroblastoma	9.0709149956	21	MONDO:0005072|MONDO:0009741
402	3	MONDO:0002602	central nervous system disease	1.5804365493	3815	MONDO:0005090|MONDO:0007488|MONDO:0011562
1282	4	MONDO:0019340	scleroderma (disease)	9.8990284778	13	MONDO:0005100|MONDO:0016356|MONDO:0016358|MONDO:0019340
1609	4	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0005103|MONDO:0007608|MONDO:0018913|MONDO:0020561
1296	4	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0005116|MONDO:0010526|MONDO:0018153|MONDO:0019127
464	4	MONDO:0005570	hematological system disease	3.8153371892	1202	MONDO:0005136|MONDO:0009335|MONDO:0010122|MONDO:0018896
360	13	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0005260|MONDO:0009386|MONDO:0010321|MONDO:0010340|MONDO:0010341|MONDO:0010342|MONDO:0010343|MONDO:0011627|MONDO:0011824|MONDO:0011956|MONDO:0012079|MONDO:0012081|MONDO:0012082
2441	5	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0005298|MONDO:0007463|MONDO:0009812|MONDO:0009942|MONDO:0011092
828	6	MONDO:0015106	rare urogenital disease	3.1193091227	1132	MONDO:0005345|MONDO:0007802|MONDO:0010384|MONDO:0010423|MONDO:0018301|MONDO:0019759
1164	4	MONDO:0003749	esophageal disease	7.927401625	81	MONDO:0005361|MONDO:0007186|MONDO:0008586|MONDO:0013662
1258	2	MONDO:0015116	rare biliary tract disease	4.9692340502	113	MONDO:0005388|MONDO:0013433
1825	4	MONDO:0005172	skeletal system disease	1.8704517187	3481	MONDO:0005486|MONDO:0011018|MONDO:0011477|MONDO:0013466
180	9	MONDO:0005498	botulism	11.1810044473	8	MONDO:0005498|MONDO:0015803|MONDO:0015804|MONDO:0015805|MONDO:0015806|MONDO:0016453|MONDO:0016468|MONDO:0016777|MONDO:0016778
1306	7	MONDO:0015576	rare viral disease	7.6912714029	115	MONDO:0005502|MONDO:0005737|MONDO:0005820|MONDO:0017872|MONDO:0018087|MONDO:0020500|MONDO:0020501
2244	3	MONDO:0018230	primary bone dysplasia	4.1954759312	627	MONDO:0005508|MONDO:0007489|MONDO:0018154
1222	2	MONDO:0020031	rare tumor	2.0300829364	2378	MONDO:0005512|MONDO:0018842
46	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0005514|MONDO:0009392|MONDO:0009631|MONDO:0009632
67	2	MONDO:0020004	rare eye disease	1.9394674576	2132	MONDO:0005629|MONDO:0019074
118	5	MONDO:0005711	congenital diaphragmatic hernia	12.2001980126	4	MONDO:0005711|MONDO:0007719|MONDO:0009103|MONDO:0010606|MONDO:0012431
476	5	MONDO:0020009	rare neurologic disease	0.8949047197	6347	MONDO:0005715|MONDO:0008947|MONDO:0009626|MONDO:0014367|MONDO:0017361
393	3	MONDO:0021199	disease affecting anatomical system	0.0640651401	17630	MONDO:0005835|MONDO:0009837|MONDO:0017615
1294	6	MONDO:0024505	disorder of anatomical region	0.8522158572	7686	MONDO:0005854|MONDO:0006456|MONDO:0008523|MONDO:0008633|MONDO:0018227|MONDO:0019125
872	1	MONDO:0005919	placental insufficiency	14.3071132165	0	MONDO:0005919
1563	4	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0005933|MONDO:0012579|MONDO:0018076|MONDO:0019122
73	2	MONDO:0005979	thoracic outlet syndrome	13.9200900934	3	MONDO:0005979|MONDO:0015061
909	5	MONDO:0015960	rare genetic developmental defect during embryogenesis	1.2344781354	4370	MONDO:0006037|MONDO:0009365|MONDO:0010110|MONDO:0010172|MONDO:0016018
873	5	MONDO:0019937	rare gynecologic or obstetric disease	3.826711369	581	MONDO:0006248|MONDO:0008636|MONDO:0018944|MONDO:0020549|MONDO:0020552
1291	3	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0006277|MONDO:0015279|MONDO:0020547
1223	2	MONDO:0015683	primary malignant peritoneal tumor	12.4076400924	5	MONDO:0006363|MONDO:0015686
710	5	MONDO:0017611	pituitary tumor	6.952609518	47	MONDO:0006372|MONDO:0010911|MONDO:0019611|MONDO:0019612|MONDO:0019613
1227	2	MONDO:0002108	thyroid cancer	8.1495719395	36	MONDO:0006468|MONDO:0019962
61	2	MONDO:0002661	uveal disease	5.9468570029	165	MONDO:0006486|MONDO:0008327
1640	1	MONDO:0006558	pemphigoid gestationis	14.4839909786	0	MONDO:0006558
1641	9	MONDO:0005093	skin disease	2.8999680383	1790	MONDO:0006588|MONDO:0007813|MONDO:0008218|MONDO:0012258|MONDO:0015104|MONDO:0015614|MONDO:0018887|MONDO:0019323|MONDO:0019324
1573	5	MONDO:0019519	rare skin disease	2.9855102848	1336	MONDO:0006602|MONDO:0007757|MONDO:0013739|MONDO:0019141|MONDO:0019212
1646	2	MONDO:0019546	other acquired skin disease	10.8886118619	21	MONDO:0006614|MONDO:0019199
971	2	MONDO:0005495	adrenal gland disease	6.1887710623	129	MONDO:0006639|MONDO:0014421
1113	8	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0006664|MONDO:0008912|MONDO:0011938|MONDO:0012654|MONDO:0013011|MONDO:0013567|MONDO:0013747|MONDO:0013750
707	5	MONDO:0019832	acquired pituitary hormone deficiency	7.808494111	33	MONDO:0006908|MONDO:0019617|MONDO:0019618|MONDO:0019838|MONDO:0019839
1	6	MONDO:0020004	rare eye disease	1.9394674576	2132	MONDO:0006952|MONDO:0007589|MONDO:0008662|MONDO:0008664|MONDO:0011151|MONDO:0013640
1211	8	MONDO:0015936	rare tumor of endocrine glands	3.6771261856	429	MONDO:0006976|MONDO:0007540|MONDO:0012552|MONDO:0019610|MONDO:0019955|MONDO:0019957|MONDO:0019959|MONDO:0019960
1794	4	MONDO:0019589	syndromic genetic deafness	4.4759277962	286	MONDO:0007029|MONDO:0007236|MONDO:0009083|MONDO:0018878
2002	4	MONDO:0002254	syndromic disease	1.2777928031	4214	MONDO:0007030|MONDO:0007846|MONDO:0009209|MONDO:0010589
917	2	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007032|MONDO:0011069
171	5	MONDO:0005071	nervous system disease	0.8629345194	7725	MONDO:0007033|MONDO:0008130|MONDO:0010912|MONDO:0012238|MONDO:0024466
2364	2	MONDO:0007034	Adams-Oliver syndrome	10.6195356493	6	MONDO:0007034|MONDO:0024506
2426	2	MONDO:0002254	syndromic disease	1.2777928031	4214	MONDO:0007036|MONDO:0013740
2622	3	MONDO:0019685	FGFR3-related chondrodysplasia	10.2360634651	12	MONDO:0007037|MONDO:0007793|MONDO:0014658
412	21	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007038|MONDO:0007460|MONDO:0007530|MONDO:0007531|MONDO:0007532|MONDO:0007559|MONDO:0007626|MONDO:0007975|MONDO:0008015|MONDO:0008229|MONDO:0008599|MONDO:0008946|MONDO:0009481|MONDO:0010022|MONDO:0010050|MONDO:0010244|MONDO:0010673|MONDO:0010734|MONDO:0014715|MONDO:0015348|MONDO:0016015
1143	3	MONDO:0021061	neurofibromatosis	9.0005256677	10	MONDO:0007039|MONDO:0008078|MONDO:0008080
2553	6	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007040|MONDO:0007041|MONDO:0007042|MONDO:0007043|MONDO:0007400|MONDO:0008391
2140	3	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007044|MONDO:0013054|MONDO:0019797
1936	3	MONDO:0002254	syndromic disease	1.2777928031	4214	MONDO:0007045|MONDO:0011154|MONDO:0015463
1520	2	MONDO:0021199	disease affecting anatomical system	0.0640651401	17630	MONDO:0007046|MONDO:0016848
1586	10	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007047|MONDO:0007564|MONDO:0007576|MONDO:0007899|MONDO:0008420|MONDO:0008595|MONDO:0010150|MONDO:0010587|MONDO:0011556|MONDO:0042977
1577	10	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007048|MONDO:0008293|MONDO:0010391|MONDO:0011937|MONDO:0013816|MONDO:0014325|MONDO:0014494|MONDO:0014661|MONDO:0015006|MONDO:0018865
1631	11	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007049|MONDO:0007695|MONDO:0007769|MONDO:0007770|MONDO:0007771|MONDO:0007891|MONDO:0008066|MONDO:0013648|MONDO:0015371|MONDO:0018311|MONDO:0024534
1921	1	MONDO:0007050	acromegaloid changes, cutis verticis gyrata, and corneal leukoma	15.6856248397	0	MONDO:0007050
1981	2	MONDO:0043005	genetic multiple congenital anomalies/dysmorphic syndrome	3.2183249778	711	MONDO:0007051|MONDO:0019940
1131	3	MONDO:0020005	rare endocrine disease	2.1651289261	1748	MONDO:0007052|MONDO:0017581|MONDO:0020479
375	2	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007053|MONDO:0011733
1607	19	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007054|MONDO:0007358|MONDO:0007444|MONDO:0007446|MONDO:0007641|MONDO:0007831|MONDO:0007858|MONDO:0007902|MONDO:0008189|MONDO:0008248|MONDO:0008325|MONDO:0008524|MONDO:0011130|MONDO:0012328|MONDO:0014307|MONDO:0015532|MONDO:0015533|MONDO:0018745|MONDO:0033014
2256	3	MONDO:0018230	primary bone dysplasia	4.1954759312	627	MONDO:0007055|MONDO:0009269|MONDO:0012716
2296	3	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007056|MONDO:0007222|MONDO:0011180
2506	4	MONDO:0015960	rare genetic developmental defect during embryogenesis	1.2344781354	4370	MONDO:0007057|MONDO:0007537|MONDO:0009318|MONDO:0011244
2293	3	MONDO:0017434	syndrome with limb duplication, polydactyly, syndactyly, and/or hyperphalangy	6.3217091232	84	MONDO:0007058|MONDO:0009777|MONDO:0011621
925	2	MONDO:0007059	acrorenal syndrome	13.8376279332	1	MONDO:0007059|MONDO:0008719
823	6	MONDO:0004983	azoospermia	10.6325135033	21	MONDO:0007060|MONDO:0013505|MONDO:0013901|MONDO:0014037|MONDO:0014172|MONDO:0014961
2305	5	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007062|MONDO:0007213|MONDO:0007214|MONDO:0009048|MONDO:0016294
1488	9	MONDO:0020008	rare immune disease	3.5595657237	1080	MONDO:0007064|MONDO:0009451|MONDO:0009973|MONDO:0010023|MONDO:0011225|MONDO:0011338|MONDO:0011804|MONDO:0015974|MONDO:0017787
1452	13	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007065|MONDO:0007390|MONDO:0007622|MONDO:0007705|MONDO:0008228|MONDO:0008232|MONDO:0008697|MONDO:0008789|MONDO:0009284|MONDO:0010812|MONDO:0011325|MONDO:0012503|MONDO:0013535
1443	18	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007066|MONDO:0007715|MONDO:0007717|MONDO:0008165|MONDO:0008166|MONDO:0008240|MONDO:0008422|MONDO:0009197|MONDO:0009334|MONDO:0009948|MONDO:0010053|MONDO:0011332|MONDO:0012731|MONDO:0012967|MONDO:0012985|MONDO:0013517|MONDO:0014394|MONDO:0016489
1442	14	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007067|MONDO:0007533|MONDO:0007657|MONDO:0007684|MONDO:0007898|MONDO:0008366|MONDO:0008545|MONDO:0008687|MONDO:0008906|MONDO:0009604|MONDO:0010605|MONDO:0012353|MONDO:0012729|MONDO:0013497
689	6	MONDO:0021198	rare genetic disease	0.53327265	9577	MONDO:0007068|MONDO:0010130|MONDO:0010472|MONDO:0010483|MONDO:0014035|MONDO:0014349
1348	1	MONDO:0007070	adiposis dolorosa	13.9631588153	0	MONDO:0007070
973	2	MONDO:0015129	chronic primary adrenal insufficiency	6.8821394641	46	MONDO:0007071|MONDO:0010264
1740	3	MONDO:0019043	rare genetic skin disease	3.0750844043	1107	MONDO:0007072|MONDO:0007131|MONDO:0013806
2544	2	MONDO:0015498	oromandibular-limb anomalies syndrome	7.9360905721	25	MONDO:0007073|MONDO:0008137
2564	3	MONDO:0003900	connective tissue disease	2.2349677261	2696	MONDO:0007074|MONDO:0015167|MONDO:0015516
1857	2	MONDO:0020192	rare lacrimal system disease	6.8731266144	50	MONDO:0007075|MONDO:0007871
743	6	MONDO:0019589	syndromic genetic deafness	4.4759277962	286	MONDO:0007077|MONDO:0008671|MONDO:0010841|MONDO:0013201|MONDO:0013202|MONDO:0019022
2155	4	MONDO:0019992	pseudohypoparathyroidism	9.9963256792	7	MONDO:0007078|MONDO:0011301|MONDO:0012911|MONDO:0012912
363	12	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007079|MONDO:0009497|MONDO:0009509|MONDO:0010272|MONDO:0010379|MONDO:0010510|MONDO:0010897|MONDO:0012474|MONDO:0013498|MONDO:0013509|MONDO:0014002|MONDO:0015020
1027	7	MONDO:0001422	primary aldosteronism	10.9200900934	11	MONDO:0007080|MONDO:0011576|MONDO:0013359|MONDO:0014200|MONDO:0016504|MONDO:0016505|MONDO:0016506
1656	2	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0007082|MONDO:0011132
1581	4	MONDO:0019268	rare epidermal disease	5.3224756696	368	MONDO:0007083|MONDO:0008292|MONDO:0010486|MONDO:0011870
1692	12	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007084|MONDO:0007184|MONDO:0007694|MONDO:0008594|MONDO:0008847|MONDO:0010229|MONDO:0010695|MONDO:0011549|MONDO:0015261|MONDO:0018858|MONDO:0019330|MONDO:0023807
430	3	MONDO:0015982	rare genetic intellectual disability	2.6535274413	1272	MONDO:0007085|MONDO:0010307|MONDO:0013629
851	4	MONDO:0019589	syndromic genetic deafness	4.4759277962	286	MONDO:0007086|MONDO:0008762|MONDO:0009082|MONDO:0010520
359	6	MONDO:0019117	genetic nervous system disorder	1.0944414681	5213	MONDO:0007087|MONDO:0007435|MONDO:0009787|MONDO:0011412|MONDO:0013900|MONDO:0015003
397	6	MONDO:0004975	Alzheimer disease	9.6544061091	23	MONDO:0007088|MONDO:0007089|MONDO:0010783|MONDO:0011194|MONDO:0011513|MONDO:0011743
2015	5	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007090|MONDO:0009253|MONDO:0010265|MONDO:0010731|MONDO:0016847
2275	5	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007091|MONDO:0007151|MONDO:0008127|MONDO:0008620|MONDO:0008904
1801	9	MONDO:0004038	dental enamel hypoplasia	11.3001938025	21	MONDO:0007092|MONDO:0008770|MONDO:0008772|MONDO:0010522|MONDO:0013181|MONDO:0013906|MONDO:0014385|MONDO:0014540|MONDO:0014560
1807	6	MONDO:0020013	rare odontologic disease	6.3515750721	196	MONDO:0007093|MONDO:0007094|MONDO:0008706|MONDO:0010098|MONDO:0010102|MONDO:0014749
1698	4	MONDO:0019287	ectodermal dysplasia syndrome	5.3012727758	198	MONDO:0007095|MONDO:0008059|MONDO:0015884|MONDO:0016619
1725	2	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007096|MONDO:0009256
766	2	MONDO:0021179	proteostasis deficiencies	9.1021659296	45	MONDO:0007097|MONDO:0019065
1323	8	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007098|MONDO:0009463|MONDO:0011583|MONDO:0014768|MONDO:0015033|MONDO:0017945|MONDO:0017946|MONDO:0017947
1190	2	MONDO:0020030	rare genetic renal disease	3.690599716	658	MONDO:0007099|MONDO:0018999
325	4	MONDO:0019117	genetic nervous system disorder	1.0944414681	5213	MONDO:0007100|MONDO:0008891|MONDO:0009279|MONDO:0015429
243	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007102|MONDO:0009351|MONDO:0010287|MONDO:0014018
198	9	MONDO:0020009	rare neurologic disease	0.8949047197	6347	MONDO:0007103|MONDO:0011196|MONDO:0011224|MONDO:0011951|MONDO:0012077|MONDO:0013264|MONDO:0013501|MONDO:0013891|MONDO:0019405
196	3	MONDO:0015918	rare neurodegenerative disease	3.3640349161	770	MONDO:0007104|MONDO:0007105|MONDO:0008781
1179	1	MONDO:0007106	anal sphincter dysplasia	16.4225904339	0	MONDO:0007106
1170	3	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007107|MONDO:0015565|MONDO:0016996
1160	12	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007108|MONDO:0007356|MONDO:0008281|MONDO:0008285|MONDO:0009521|MONDO:0012041|MONDO:0012249|MONDO:0012405|MONDO:0012820|MONDO:0013196|MONDO:0013695|MONDO:0013725
1437	2	MONDO:0015972	rare constitutional anemia	5.5482494018	242	MONDO:0007109|MONDO:0008788
1400	2	MONDO:0015253	Diamond-Blackfan anemia	9.1778301995	17	MONDO:0007110|MONDO:0012937
1321	5	MONDO:0015145	neurovascular malformation	7.7799369912	38	MONDO:0007111|MONDO:0012053|MONDO:0012194|MONDO:0016483|MONDO:0020048
1322	8	MONDO:0020015	rare circulatory system disease	3.2406876158	1277	MONDO:0007112|MONDO:0007568|MONDO:0012730|MONDO:0013418|MONDO:0013542|MONDO:0014187|MONDO:0015196|MONDO:0024521
680	2	MONDO:0015955	rare genetic epilepsy	3.489699039	762	MONDO:0007113|MONDO:0013690
2288	2	MONDO:0019695	acromelic dysplasia	8.1825941941	30	MONDO:0007114|MONDO:0008227
