cluster id	cluster members	disease_id	disease label	mica	mondo subclasses	clusters
663	2	MONDO:0005381	bone disease	2.417784767	2238	MONDO:0000044|MONDO:0007396
2383	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0000050|MONDO:0007690|MONDO:0012332|MONDO:0014551
2180	3	MONDO:0000110	bifid nose	12.2131370683	4	MONDO:0000110|MONDO:0007195|MONDO:0008866
1205	2	MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	11.9414637442	4	MONDO:0000133|MONDO:0009454
373	3	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0000141|MONDO:0013582|MONDO:0014994
31	3	MONDO:0015220	syndrome with a central nervous system malformation as major feature	3.708881733	498	MONDO:0000179|MONDO:0009736|MONDO:0011790
1430	3	MONDO:0002254	syndromic disease	1.2777928031	4214	MONDO:0000208|MONDO:0013588|MONDO:0013922
2257	2	MONDO:0000355	Ullrich congenital muscular dystrophy	12.548121316	2	MONDO:0000355|MONDO:0009681
1155	13	MONDO:0000992	heart conduction disease	7.7337573354	121	MONDO:0000453|MONDO:0008646|MONDO:0010958|MONDO:0011377|MONDO:0012313|MONDO:0012728|MONDO:0012737|MONDO:0012742|MONDO:0012871|MONDO:0013367|MONDO:0013370|MONDO:0013372|MONDO:0024540
2056	9	MONDO:0015107	rare genetic eye disease	2.0233681494	1987	MONDO:0000455|MONDO:0008374|MONDO:0010969|MONDO:0011987|MONDO:0012398|MONDO:0012490|MONDO:0013129|MONDO:0013348|MONDO:0015993
1982	5	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0000463|MONDO:0009368|MONDO:0014049|MONDO:0014422|MONDO:0019395
2422	3	MONDO:0005336	myopathy	4.6745373871	473	MONDO:0000507|MONDO:0012545|MONDO:0014144
976	3	MONDO:0019289	hyperpigmentation of the skin	6.0768155971	87	MONDO:0000736|MONDO:0007245|MONDO:0007757
252	3	MONDO:0005172	skeletal system disease	1.8704517187	3481	MONDO:0000902|MONDO:0014128|MONDO:0014705
2591	3	MONDO:0018329	persistent combined dystonia	9.4997582944	19	MONDO:0000903|MONDO:0007495|MONDO:0008044
1153	13	MONDO:0020029	rare genetic cardiac disease	4.3333054849	494	MONDO:0000908|MONDO:0011001|MONDO:0011376|MONDO:0011857|MONDO:0012066|MONDO:0012678|MONDO:0012816|MONDO:0013513|MONDO:0013544|MONDO:0013545|MONDO:0014340|MONDO:0019171|MONDO:0019490
