cluster id	cluster members	disease_id	disease label	mica	mondo subclasses	clusters
1821	6	MONDO:0015231	Bartter syndrome	10.5358777202	8	MONDO:0000909|MONDO:0009424|MONDO:0010503|MONDO:0011127|MONDO:0011242|MONDO:0011822
2097	11	MONDO:0015107	rare genetic eye disease	2.0233681494	1987	MONDO:0000910|MONDO:0008379|MONDO:0011415|MONDO:0011630|MONDO:0012507|MONDO:0012515|MONDO:0014093|MONDO:0014345|MONDO:0014653|MONDO:0014692|MONDO:0044320
939	69	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0000912|MONDO:0008960|MONDO:0009076|MONDO:0009087|MONDO:0009090|MONDO:0010228|MONDO:0010326|MONDO:0010577|MONDO:0010915|MONDO:0010933|MONDO:0010963|MONDO:0010967|MONDO:0010973|MONDO:0010987|MONDO:0011031|MONDO:0011067|MONDO:0011102|MONDO:0011103|MONDO:0011159|MONDO:0011279|MONDO:0011351|MONDO:0011364|MONDO:0011480|MONDO:0011553|MONDO:0011568|MONDO:0011602|MONDO:0011660|MONDO:0011761|MONDO:0011762|MONDO:0011767|MONDO:0011832|MONDO:0011920|MONDO:0011991|MONDO:0012002|MONDO:0012003|MONDO:0012060|MONDO:0012083|MONDO:0012086|MONDO:0012170|MONDO:0012293|MONDO:0012326|MONDO:0012333|MONDO:0012370|MONDO:0012418|MONDO:0012420|MONDO:0012421|MONDO:0012442|MONDO:0012445|MONDO:0012460|MONDO:0012485|MONDO:0012670|MONDO:0012975|MONDO:0013010|MONDO:0013119|MONDO:0013210|MONDO:0013215|MONDO:0013471|MONDO:0013593|MONDO:0013929|MONDO:0013972|MONDO:0014237|MONDO:0014363|MONDO:0014469|MONDO:0014603|MONDO:0014675|MONDO:0014738|MONDO:0014816|MONDO:0014853|MONDO:0014854
1578	12	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0000913|MONDO:0008493|MONDO:0008790|MONDO:0009135|MONDO:0009382|MONDO:0010721|MONDO:0011381|MONDO:0012981|MONDO:0013511|MONDO:0014285|MONDO:0014564|MONDO:0014737
2619	2	MONDO:0020262	nervous system anomaly with eye involvement	4.5045347158	235	MONDO:0000914|MONDO:0007435
1622	6	MONDO:0023370	neoplastic disease	1.6385009276	4579	MONDO:0001056|MONDO:0008284|MONDO:0012233|MONDO:0018961|MONDO:0024293|MONDO:0044300
1662	3	MONDO:0005070	neoplasm (disease)	1.7649928521	4411	MONDO:0001187|MONDO:0008627|MONDO:0010274
1301	4	MONDO:0019062	rare infectious disease	6.0322423166	545	MONDO:0001444|MONDO:0005116|MONDO:0019365|MONDO:0020486
1465	3	MONDO:0019249	mucopolysaccharidosis	8.2493297199	24	MONDO:0001586|MONDO:0009661|MONDO:0010674
2601	1	MONDO:0001945	postencephalitic Parkinson disease	13.2001980126	0	MONDO:0001945
2045	3	MONDO:0015938	systemic disease	5.8264006777	261	MONDO:0001956|MONDO:0018018|MONDO:0019439
1277	4	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0002142|MONDO:0018076|MONDO:0018942|MONDO:0020487
1803	2	MONDO:0021581	connective tissue neoplasm	4.3239551602	590	MONDO:0002422|MONDO:0009693
69	2	MONDO:0002457	Treacher-Collins syndrome	9.6002851704	3	MONDO:0002457|MONDO:0007944
1652	3	MONDO:0016645	rare neoplastic disease	1.8793672501	2543	MONDO:0002546|MONDO:0007039|MONDO:0008080
1617	3	MONDO:0005070	neoplasm (disease)	1.7649928521	4411	MONDO:0002586|MONDO:0005197|MONDO:0006292
1655	3	MONDO:0004992	cancer	2.365656421	2183	MONDO:0002629|MONDO:0008380|MONDO:0016722
1665	4	MONDO:0005558	ovarian disease	5.6516512963	224	MONDO:0002697|MONDO:0008168|MONDO:0011972|MONDO:0017802
1304	3	MONDO:0004992	cancer	2.365656421	2183	MONDO:0002728|MONDO:0006277|MONDO:0019004
1597	2	MONDO:0000405	anal canal cancer	8.6755163863	7	MONDO:0002735|MONDO:0004132
1605	6	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0002882|MONDO:0003111|MONDO:0003646|MONDO:0006689|MONDO:0015066|MONDO:0015069
729	5	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0002974|MONDO:0007304|MONDO:0008249|MONDO:0008475|MONDO:0014314
1562	2	MONDO:0019087	cholangiocarcinoma	7.1770377276	7	MONDO:0003345|MONDO:0014281
1420	5	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0003510|MONDO:0008541|MONDO:0009047|MONDO:0012494|MONDO:0013664
1669	4	MONDO:0021068	ovarian neoplasm	6.4343791499	145	MONDO:0003582|MONDO:0008167|MONDO:0008170|MONDO:0013253
1707	5	MONDO:0002118	urinary system disease	3.354932	1202	MONDO:0004114|MONDO:0010971|MONDO:0013869|MONDO:0018960|MONDO:0019639
1892	2	MONDO:0019820	univentricular cardiopathy	11.8680015822	8	MONDO:0004933|MONDO:0009931
1233	8	MONDO:0005374	bone marrow neoplasm	6.1008502022	166	MONDO:0004948|MONDO:0007190|MONDO:0007573|MONDO:0008040|MONDO:0009692|MONDO:0010809|MONDO:0011908|MONDO:0014707
1274	6	MONDO:0005157	lymphoid neoplasm	5.1782265988	389	MONDO:0004952|MONDO:0009348|MONDO:0018876|MONDO:0018906|MONDO:0019024|MONDO:0019478
2254	8	MONDO:0004976	amyotrophic lateral sclerosis	8.4635544845	36	MONDO:0004976|MONDO:0007103|MONDO:0011196|MONDO:0011951|MONDO:0012077|MONDO:0012790|MONDO:0013501|MONDO:0013891
1613	3	MONDO:0019086	carcinoma of esophagus	9.4683941235	12	MONDO:0005028|MONDO:0005580|MONDO:0019086
1791	3	MONDO:0020006	rare hematologic disease	4.0603269493	859	MONDO:0005029|MONDO:0018641|MONDO:0019111
1598	4	MONDO:0020031	rare tumor	2.0300829364	2378	MONDO:0005033|MONDO:0007608|MONDO:0011719|MONDO:0011740
1903	3	MONDO:0001933	endocrine pancreas disease	5.964525651	171	MONDO:0005048|MONDO:0011236|MONDO:0012381
1276	5	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0005055|MONDO:0009691|MONDO:0015046|MONDO:0017844|MONDO:0018227
1921	2	MONDO:0002616	mesenchymal cell neoplasm	5.9701775769	262	MONDO:0005060|MONDO:0016036
1835	3	MONDO:0021635	neurocristopathy	4.9166135186	248	MONDO:0005072|MONDO:0007273|MONDO:0009741
2621	3	MONDO:0002602	central nervous system disease	1.5804365493	3815	MONDO:0005090|MONDO:0007488|MONDO:0011562
1734	2	MONDO:0019340	scleroderma (disease)	9.8990284778	13	MONDO:0005100|MONDO:0019340
963	6	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0005103|MONDO:0007865|MONDO:0008384|MONDO:0018884|MONDO:0020561|MONDO:0020562
1693	4	MONDO:0021199	disease affecting anatomical system	0.0640651401	17630	MONDO:0005136|MONDO:0010122|MONDO:0016474|MONDO:0018896
2334	11	MONDO:0005258	autism spectrum disorder	7.5703210336	63	MONDO:0005260|MONDO:0010321|MONDO:0010340|MONDO:0010341|MONDO:0010342|MONDO:0010343|MONDO:0011824|MONDO:0011956|MONDO:0012079|MONDO:0012081|MONDO:0012082
620	2	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0005298|MONDO:0011135
1422	5	MONDO:0000839	physical disorder	3.232765875	851	MONDO:0005345|MONDO:0007802|MONDO:0010384|MONDO:0010423|MONDO:0010530
1612	2	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0005361|MONDO:0008118
1525	2	MONDO:0015116	rare biliary tract disease	4.9692340502	113	MONDO:0005388|MONDO:0013433
999	3	MONDO:0020013	rare odontologic disease	6.3515750721	196	MONDO:0005486|MONDO:0011018|MONDO:0011477
2584	8	MONDO:0005498	botulism	11.1810044473	8	MONDO:0005498|MONDO:0015803|MONDO:0015805|MONDO:0015806|MONDO:0016453|MONDO:0016468|MONDO:0016777|MONDO:0016778
1299	7	MONDO:0015576	rare viral disease	7.6912714029	115	MONDO:0005502|MONDO:0005737|MONDO:0005820|MONDO:0017872|MONDO:0018087|MONDO:0020500|MONDO:0020501
479	5	MONDO:0018230	primary bone dysplasia	4.1954759312	627	MONDO:0005508|MONDO:0007481|MONDO:0009588|MONDO:0010367|MONDO:0018154
1637	3	MONDO:0021199	disease affecting anatomical system	0.0640651401	17630	MONDO:0005512|MONDO:0019623|MONDO:0019624
2173	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0005514|MONDO:0009392|MONDO:0009631|MONDO:0009632
1328	1	MONDO:0005629	Acanthamoeba keratitis	13.5812881799	0	MONDO:0005629
1296	7	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0005661|MONDO:0005823|MONDO:0008538|MONDO:0012727|MONDO:0017767|MONDO:0018540|MONDO:0020499
2585	4	MONDO:0005711	congenital diaphragmatic hernia	12.2001980126	4	MONDO:0005711|MONDO:0007719|MONDO:0010606|MONDO:0012431
1475	2	MONDO:0016511	infectious embryofetopathy	11.1746629204	15	MONDO:0005715|MONDO:0017361
1666	2	MONDO:0019041	rare genetic inherited tumor	3.8887740445	511	MONDO:0005835|MONDO:0015278
1325	5	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0005854|MONDO:0006456|MONDO:0015019|MONDO:0019344|MONDO:0020547
1738	1	MONDO:0005919	placental insufficiency	14.3071132165	0	MONDO:0005919
1252	2	MONDO:0015510	rare genetic respiratory disease	5.5793236364	251	MONDO:0005933|MONDO:0008587
1927	2	MONDO:0005979	thoracic outlet syndrome	13.9200900934	3	MONDO:0005979|MONDO:0015061
287	4	MONDO:0015335	orofacial clefting syndrome	6.1819978337	113	MONDO:0006037|MONDO:0009270|MONDO:0009365|MONDO:0018921
1436	4	MONDO:0016784	gestational trophoblastic disease	8.720995173	14	MONDO:0006248|MONDO:0018944|MONDO:0020549|MONDO:0020552
1437	3	MONDO:0024505	disorder of anatomical region	0.8522158572	7686	MONDO:0006363|MONDO:0008636|MONDO:0018301
1440	3	MONDO:0020036	rare nervous system tumor	3.5537678791	676	MONDO:0006372|MONDO:0016730|MONDO:0019612
1619	2	MONDO:0002108	thyroid cancer	8.1495719395	36	MONDO:0006468|MONDO:0019962
2081	2	MONDO:0021199	disease affecting anatomical system	0.0640651401	17630	MONDO:0006486|MONDO:0015534
956	3	MONDO:0002406	dermatitis	7.9817212663	179	MONDO:0006558|MONDO:0018056|MONDO:0019323
1343	5	MONDO:0005093	skin disease	2.8999680383	1790	MONDO:0006588|MONDO:0016028|MONDO:0017242|MONDO:0018051|MONDO:0018683
954	4	MONDO:0019268	rare epidermal disease	5.3224756696	368	MONDO:0006602|MONDO:0007756|MONDO:0019141|MONDO:0019212
809	3	MONDO:0021199	disease affecting anatomical system	0.0640651401	17630	MONDO:0006614|MONDO:0008383|MONDO:0019199
1834	3	MONDO:0020005	rare endocrine disease	2.1651289261	1748	MONDO:0006639|MONDO:0014421|MONDO:0016035
1719	10	MONDO:0019755	developmental defect during embryogenesis	1.2273464034	4904	MONDO:0006664|MONDO:0010029|MONDO:0011036|MONDO:0011938|MONDO:0012690|MONDO:0013011|MONDO:0013567|MONDO:0013747|MONDO:0013750|MONDO:0017865
1438	5	MONDO:0019832	acquired pituitary hormone deficiency	7.808494111	33	MONDO:0006908|MONDO:0019617|MONDO:0019618|MONDO:0019838|MONDO:0019839
2079	4	MONDO:0020009	rare neurologic disease	0.8949047197	6347	MONDO:0006952|MONDO:0008373|MONDO:0008662|MONDO:0012726
1602	5	MONDO:0019954	pancreatic neuroendocrine tumor	8.548121316	19	MONDO:0006976|MONDO:0019955|MONDO:0019957|MONDO:0019959|MONDO:0019960
75	3	MONDO:0043008	genetic multiple congenital anomalies/dysmorphic syndrome without intellectual disability	5.003595886	246	MONDO:0007029|MONDO:0007236|MONDO:0018878
201	5	MONDO:0015960	rare genetic developmental defect during embryogenesis	1.2344781354	4370	MONDO:0007030|MONDO:0007045|MONDO:0007780|MONDO:0009209|MONDO:0010589
1967	2	MONDO:0015960	rare genetic developmental defect during embryogenesis	1.2344781354	4370	MONDO:0007032|MONDO:0009367
2146	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007033|MONDO:0008341|MONDO:0008498|MONDO:0014240
434	2	MONDO:0007034	Adams-Oliver syndrome	10.6195356493	6	MONDO:0007034|MONDO:0024506
59	2	MONDO:0002254	syndromic disease	1.2777928031	4214	MONDO:0007036|MONDO:0015234
543	2	MONDO:0019685	FGFR3-related chondrodysplasia	10.2360634651	12	MONDO:0007037|MONDO:0007793
2333	20	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007038|MONDO:0007460|MONDO:0007530|MONDO:0007531|MONDO:0007532|MONDO:0007559|MONDO:0007626|MONDO:0007975|MONDO:0008015|MONDO:0008229|MONDO:0008599|MONDO:0008946|MONDO:0009481|MONDO:0010050|MONDO:0010244|MONDO:0010673|MONDO:0010734|MONDO:0014715|MONDO:0015348|MONDO:0016015
253	4	MONDO:0019796	acrocephalosyndactyly	8.9068905956	14	MONDO:0007040|MONDO:0007041|MONDO:0007042|MONDO:0007043
468	4	MONDO:0015483	mandibulofacial dysostosis	8.6610392014	13	MONDO:0007044|MONDO:0013822|MONDO:0017240|MONDO:0019797
1064	2	MONDO:0024255	genetic skin disease	3.0666887956	1156	MONDO:0007046|MONDO:0008388
1657	6	MONDO:0021199	disease affecting anatomical system	0.0640651401	17630	MONDO:0007047|MONDO:0007758|MONDO:0008420|MONDO:0009176|MONDO:0010587|MONDO:0013467
1051	3	MONDO:0019268	rare epidermal disease	5.3224756696	368	MONDO:0007048|MONDO:0007417|MONDO:0019370
951	6	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007049|MONDO:0007957|MONDO:0008363|MONDO:0008909|MONDO:0014130|MONDO:0024524
1113	3	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007050|MONDO:0009056|MONDO:0010573
823	3	MONDO:0043005	genetic multiple congenital anomalies/dysmorphic syndrome	3.2183249778	711	MONDO:0007051|MONDO:0010277|MONDO:0019940
1448	4	MONDO:0020005	rare endocrine disease	2.1651289261	1748	MONDO:0007052|MONDO:0010491|MONDO:0017581|MONDO:0020479
1926	2	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0007053|MONDO:0008889
943	19	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007054|MONDO:0007358|MONDO:0007444|MONDO:0007446|MONDO:0007641|MONDO:0007672|MONDO:0007831|MONDO:0007858|MONDO:0007884|MONDO:0007902|MONDO:0008189|MONDO:0008248|MONDO:0008325|MONDO:0008524|MONDO:0008778|MONDO:0008910|MONDO:0009000|MONDO:0011130|MONDO:0012328
423	3	MONDO:0019755	developmental defect during embryogenesis	1.2273464034	4904	MONDO:0007055|MONDO:0011053|MONDO:0012716
860	3	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007056|MONDO:0007074|MONDO:0008580
431	3	MONDO:0002254	syndromic disease	1.2777928031	4214	MONDO:0007057|MONDO:0009074|MONDO:0024526
443	2	MONDO:0018455	dysostosis of genetic origin with limb anomaly as a major feature	4.3495088535	494	MONDO:0007058|MONDO:0008516
495	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007059|MONDO:0008247|MONDO:0010710|MONDO:0011221
1366	5	MONDO:0004983	azoospermia	10.6325135033	21	MONDO:0007060|MONDO:0013505|MONDO:0013901|MONDO:0014037|MONDO:0014961
473	4	MONDO:0015328	rare bone development disorder	3.1110313124	1280	MONDO:0007062|MONDO:0012644|MONDO:0014069|MONDO:0019066
1266	3	MONDO:0021094	immunodeficiency syndrome	7.0860838741	131	MONDO:0007064|MONDO:0009451|MONDO:0011338
1868	8	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007065|MONDO:0007873|MONDO:0009295|MONDO:0009408|MONDO:0010642|MONDO:0012356|MONDO:0013128|MONDO:0018220
1188	24	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007066|MONDO:0007705|MONDO:0007715|MONDO:0007717|MONDO:0008165|MONDO:0008166|MONDO:0008228|MONDO:0008240|MONDO:0008422|MONDO:0008787|MONDO:0008789|MONDO:0009197|MONDO:0009284|MONDO:0009334|MONDO:0009948|MONDO:0010053|MONDO:0011332|MONDO:0012731|MONDO:0012967|MONDO:0012985|MONDO:0013517|MONDO:0014394|MONDO:0016489|MONDO:0017909
1190	14	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007067|MONDO:0007533|MONDO:0007657|MONDO:0007684|MONDO:0007898|MONDO:0008366|MONDO:0008545|MONDO:0008687|MONDO:0008906|MONDO:0009604|MONDO:0010605|MONDO:0012353|MONDO:0012729|MONDO:0013497
2456	6	MONDO:0002602	central nervous system disease	1.5804365493	3815	MONDO:0007068|MONDO:0010483|MONDO:0014349|MONDO:0014933|MONDO:0015000|MONDO:0024567
1924	1	MONDO:0007070	adiposis dolorosa	13.9631588153	0	MONDO:0007070
953	9	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007071|MONDO:0007769|MONDO:0007770|MONDO:0008066|MONDO:0013648|MONDO:0015371|MONDO:0018311|MONDO:0024534|MONDO:0044310
1118	3	MONDO:0020013	rare odontologic disease	6.3515750721	196	MONDO:0007072|MONDO:0007449|MONDO:0016514
461	3	MONDO:0019038	rare maxillo-facial surgical disease	4.6338721012	339	MONDO:0007073|MONDO:0007953|MONDO:0008645
2073	2	MONDO:0019627	isolated congenital alacrima	13.2001980126	2	MONDO:0007075|MONDO:0011105
2125	3	MONDO:0019290	hypopigmentation of the skin (disease)	7.2656646619	58	MONDO:0007077|MONDO:0008671|MONDO:0012698
1809	3	MONDO:0019992	pseudohypoparathyroidism	9.9963256792	7	MONDO:0007078|MONDO:0011301|MONDO:0012911
2345	4	MONDO:0005084	mental disorder	2.6286485035	1521	MONDO:0007079|MONDO:0010897|MONDO:0010943|MONDO:0013498
1822	7	MONDO:0015899	rare primary hyperaldosteronism	10.9200900934	10	MONDO:0007080|MONDO:0011576|MONDO:0013359|MONDO:0014200|MONDO:0016504|MONDO:0016505|MONDO:0016506
1053	2	MONDO:0005093	skin disease	2.8999680383	1790	MONDO:0007082|MONDO:0008334
1055	4	MONDO:0019268	rare epidermal disease	5.3224756696	368	MONDO:0007083|MONDO:0007552|MONDO:0008059|MONDO:0017610
1060	6	MONDO:0004907	alopecia	8.2669288901	63	MONDO:0007084|MONDO:0007184|MONDO:0010229|MONDO:0012487|MONDO:0013492|MONDO:0021035
1117	3	MONDO:0024481	skin appendage disease	4.7076294711	419	MONDO:0007085|MONDO:0015261|MONDO:0019392
1699	5	MONDO:0019722	glomerular disease	6.4294161512	199	MONDO:0007086|MONDO:0007928|MONDO:0007929|MONDO:0008762|MONDO:0010520
2508	3	MONDO:0002602	central nervous system disease	1.5804365493	3815	MONDO:0007087|MONDO:0013900|MONDO:0014557
2628	4	MONDO:0004975	Alzheimer disease	9.6544061091	23	MONDO:0007088|MONDO:0007089|MONDO:0010783|MONDO:0011743
889	2	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007090|MONDO:0014602
872	2	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007091|MONDO:0007994
987	8	MONDO:0020013	rare odontologic disease	6.3515750721	196	MONDO:0007092|MONDO:0008772|MONDO:0009513|MONDO:0010522|MONDO:0013181|MONDO:0013906|MONDO:0014385|MONDO:0015613
990	9	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007093|MONDO:0007094|MONDO:0007436|MONDO:0008706|MONDO:0008897|MONDO:0010098|MONDO:0010102|MONDO:0010740|MONDO:0014749
1122	2	MONDO:0019287	ectodermal dysplasia syndrome	5.3012727758	198	MONDO:0007095|MONDO:0008582
1423	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007096|MONDO:0009256|MONDO:0014250|MONDO:0019615
839	2	MONDO:0018634	hereditary amyloidosis	9.572924707	25	MONDO:0007097|MONDO:0024522
1788	6	MONDO:0005620	cerebral amyloid angiopathy	10.2261932211	10	MONDO:0007098|MONDO:0011583|MONDO:0015033|MONDO:0017945|MONDO:0017946|MONDO:0017947
1580	5	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007099|MONDO:0013536|MONDO:0014253|MONDO:0014537|MONDO:0018999
1444	2	MONDO:0019052	inborn errors of metabolism	2.4665470957	1810	MONDO:0007100|MONDO:0010247
2493	3	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007102|MONDO:0009366|MONDO:0011487
2256	7	MONDO:0015918	rare neurodegenerative disease	3.3640349161	770	MONDO:0007104|MONDO:0008781|MONDO:0008782|MONDO:0012753|MONDO:0012945|MONDO:0014181|MONDO:0014223
2253	8	MONDO:0004976	amyotrophic lateral sclerosis	8.4635544845	36	MONDO:0007105|MONDO:0010459|MONDO:0011632|MONDO:0013264|MONDO:0013861|MONDO:0014395|MONDO:0014640|MONDO:0014641
1984	2	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007106|MONDO:0019020
1983	2	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007107|MONDO:0012814
1623	6	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007108|MONDO:0008285|MONDO:0013196|MONDO:0013695|MONDO:0013725|MONDO:0014038
1187	3	MONDO:0015549	rare genetic hematologic disease	4.5653869624	571	MONDO:0007109|MONDO:0014452|MONDO:0015096
304	2	MONDO:0015335	orofacial clefting syndrome	6.1819978337	113	MONDO:0007110|MONDO:0011008
1781	8	MONDO:0021200	rare disease	0.1406272128	13538	MONDO:0007111|MONDO:0012053|MONDO:0012194|MONDO:0012570|MONDO:0013542|MONDO:0015196|MONDO:0016483|MONDO:0020048
1722	4	MONDO:0020015	rare circulatory system disease	3.2406876158	1277	MONDO:0007112|MONDO:0013418|MONDO:0014187|MONDO:0024521
91	2	MONDO:0015955	rare genetic epilepsy	3.489699039	762	MONDO:0007113|MONDO:0013690
456	3	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007114|MONDO:0007698|MONDO:0008430
947	31	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007115|MONDO:0007248|MONDO:0007809|MONDO:0008188|MONDO:0009489|MONDO:0010032|MONDO:0010849|MONDO:0010962|MONDO:0011881|MONDO:0012874|MONDO:0013034|MONDO:0013073|MONDO:0013495|MONDO:0013868|MONDO:0013980|MONDO:0014010|MONDO:0014011|MONDO:0014227|MONDO:0014327|MONDO:0014346|MONDO:0014479|MONDO:0014622|MONDO:0014923|MONDO:0015085|MONDO:0015341|MONDO:0016039|MONDO:0017267|MONDO:0017268|MONDO:0019489|MONDO:0020267|MONDO:0043003
1795	2	MONDO:0015145	neurovascular malformation	7.7799369912	38	MONDO:0007116|MONDO:0019180
1608	3	MONDO:0019623	hereditary angioedema	12.9631588153	4	MONDO:0007117|MONDO:0012526|MONDO:0015053
1032	1	MONDO:0007118	isolated anhidrosis with normal sweat glands	14.4839909786	0	MONDO:0007118
2151	4	MONDO:0020145	developmental defect of the eye	4.1615239339	343	MONDO:0007119|MONDO:0012456|MONDO:0015199|MONDO:0024507
2152	5	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007120|MONDO:0007121|MONDO:0009505|MONDO:0014825|MONDO:0016576
2149	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007122|MONDO:0007593|MONDO:0008128|MONDO:0010579
1	4	MONDO:0015501	syndrome or malformation associated with head and neck malformations	4.8097987104	244	MONDO:0007123|MONDO:0007333|MONDO:0015201|MONDO:0019508
1094	3	MONDO:0019287	ectodermal dysplasia syndrome	5.3012727758	198	MONDO:0007124|MONDO:0009148|MONDO:0009151
1022	2	MONDO:0005042	head disease	1.6382282322	3522	MONDO:0007125|MONDO:0010560
1638	10	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007126|MONDO:0009051|MONDO:0009119|MONDO:0011471|MONDO:0012831|MONDO:0012845|MONDO:0012875|MONDO:0012941|MONDO:0013423|MONDO:0014808
945	1	MONDO:0007127	diffuse idiopathic skeletal hyperostosis	13.9631588153	1	MONDO:0007127
1342	6	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007128|MONDO:0007570|MONDO:0007813|MONDO:0008218|MONDO:0011870|MONDO:0033010
1002	4	MONDO:0003847	inherited genetic disease	0.7834240426	8269	MONDO:0007129|MONDO:0008581|MONDO:0008797|MONDO:0019505
1728	4	MONDO:0019048	rare vascular disease	4.0304519278	658	MONDO:0007130|MONDO:0009329|MONDO:0009937|MONDO:0024533
1115	2	MONDO:0019043	rare genetic skin disease	3.0750844043	1107	MONDO:0007131|MONDO:0013806
477	3	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007132|MONDO:0007211|MONDO:0010736
462	4	MONDO:0000001	disease or disorder	2.73735657546983E-06	21358	MONDO:0007133|MONDO:0013036|MONDO:0013332|MONDO:0013895
