#disease	phenotype	onset	frequency	severity
MONDO:0007040	HP:0000263			
MONDO:0007040	HP:0000272			
MONDO:0007040	HP:0000274			
MONDO:0007040	HP:0000303			
MONDO:0007040	HP:0000316			
MONDO:0007040	HP:0000327			
MONDO:0007040	HP:0000369			
MONDO:0007040	HP:0000377			
MONDO:0007040	HP:0000470			
MONDO:0007040	HP:0000586			
MONDO:0007040	HP:0000678			
MONDO:0007040	HP:0001159			
MONDO:0007040	HP:0001177			
MONDO:0007040	HP:0001363			
MONDO:0007040	HP:0009816			
MONDO:0007040	HP:0010055			
MONDO:0007040	HP:0011304			
MONDO:0007040	HP:0012368			
MONDO:0007041	HP:0000006			
MONDO:0007041	HP:0000028			
MONDO:0007041	HP:0000126			
MONDO:0007041	HP:0000148			
MONDO:0007041	HP:0000175		HP:0040283	
MONDO:0007041	HP:0000189		HP:0040282	
MONDO:0007041	HP:0000193		HP:0040283	
MONDO:0007041	HP:0000238		HP:0040283	
MONDO:0007041	HP:0000239		HP:0040282	
MONDO:0007041	HP:0000244		HP:0040281	
MONDO:0007041	HP:0000270			
MONDO:0007041	HP:0000272			
MONDO:0007041	HP:0000303		HP:0040282	
MONDO:0007041	HP:0000316		HP:0040282	
MONDO:0007041	HP:0000337		HP:0040281	
MONDO:0007041	HP:0000348			
MONDO:0007041	HP:0000365			
MONDO:0007041	HP:0000389			
MONDO:0007041	HP:0000452			
MONDO:0007041	HP:0000453		HP:0040283	
MONDO:0007041	HP:0000486		HP:0040282	
MONDO:0007041	HP:0000494		HP:0040282	
MONDO:0007041	HP:0000586			
MONDO:0007041	HP:0000684		HP:0040282	
MONDO:0007041	HP:0000689			
MONDO:0007041	HP:0001061			
MONDO:0007041	HP:0001162		HP:0040283	
MONDO:0007041	HP:0001177		HP:0040283	
MONDO:0007041	HP:0001249		HP:0040282	
MONDO:0007041	HP:0001274		HP:0040282	
MONDO:0007041	HP:0001331		HP:0040282	
MONDO:0007041	HP:0001355			
MONDO:0007041	HP:0001507			
MONDO:0007041	HP:0001629			
MONDO:0007041	HP:0002021			
MONDO:0007041	HP:0002032		HP:0040283	
MONDO:0007041	HP:0002119		HP:0040283	
MONDO:0007041	HP:0002623			
MONDO:0007041	HP:0003041			
MONDO:0007041	HP:0004397		HP:0040283	
MONDO:0007041	HP:0004440			
MONDO:0007041	HP:0004468			
MONDO:0007041	HP:0004487		HP:0040281	
MONDO:0007041	HP:0004635		HP:0040282	
MONDO:0007041	HP:0005048			
MONDO:0007041	HP:0005280		HP:0040281	
MONDO:0007041	HP:0007099			
MONDO:0007041	HP:0007291			
MONDO:0007041	HP:0007343			
MONDO:0007041	HP:0008111			
MONDO:0007041	HP:0009642			
MONDO:0007041	HP:0010554			
MONDO:0007041	HP:0011800		HP:0040282	
MONDO:0007041	HP:0012368		HP:0040281	
MONDO:0007041	HP:0100702			
MONDO:0007042	HP:0000006			
MONDO:0007042	HP:0000175		HP:0040283	
MONDO:0007042	HP:0000189		HP:0040282	
MONDO:0007042	HP:0000248		HP:0040282	
MONDO:0007042	HP:0000263			
MONDO:0007042	HP:0000270		HP:0040282	
MONDO:0007042	HP:0000272			
